sdg	concept	document	dois
SDG13: Climate action	Adaptation Option	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Estimate Adaptation Cost	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Impact Assessment Study	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Flood Risk Management	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Flood Risk	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Delta Programme	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Link Policy	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Climate Change Adaptation	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Climate Smart Agriculture	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Adaptation Deficit	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Real Option Analysis	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Future Climate Risk	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Climate Risk Screening	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	Regional Scale	Climate Change Risks and Adaptation	10.1787/9789264234611-6-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Global Stocktake	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Communication	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Component	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	National Adaptation Plan	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Organisation For Economic Cooperation And Development	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Action	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Paris Agreement	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Climate Change Expert Group Paper	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Develop Country Party	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	National Adaptation Plan Process	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Plan	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Support	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Small Island Develop State	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Goal	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Nap Process	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Plan Process	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Global Adaptation	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	Adaptation Committee	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	National Adaptation	Communicating progress in national and global adaptation to climate change	10.1787/5jlww009v1hj-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Climate Finance	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Technology Executive Committee	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Mobilise Climate Finance	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Green Climate Fund	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Climate Change Expert Group Paper	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	United Nations Framework Convention On Climate Change Context	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Science , Technology And Innovation	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Climate Support	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Carbon Capture And Storage	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	High-carbon Investment	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Private Climate Finance	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	International Climate Finance	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Climate Bond Initiative	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Climate Technology Centre And Network	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	United Nations Framework Convention On Climate Change Framework	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Table ES-2	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Climate Finance Goal	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Green Bond	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Integrate Capacity Building	Assessing Options to Increase Climate Support	10.1787/5jrw65rp0pg8-en
SDG13: Climate action	Urban Climate Adaptation	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Urban Climate	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Urban Adaptation	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Conceptual Understanding	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Adaptation Planning	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Climate And Development Knowledge Network	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Climate Adaptation	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Practical Action	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Adaptation Initiative	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	United Nations Capital Development Fund	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	City Climate Change	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Climate Change Risk Assessment	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Adaptation Program	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Climate Change Adaptation	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	UK Climate Impact Programme	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Adaptation Planning Process	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Adaptation Priority	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Intergovernmental Panel On Climate Change	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Adaptation Intervention	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	Project Climate Impact	Urban Climate Adaptation and Leadership	10.1787/5k3ttg88w8hh-en
SDG13: Climate action	General Paper	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	United Nations Framework Convention On Climate Change	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Forest Carbon Partnership Facility	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Clean Development Mechanism Project	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Global Gas Flaring Reduction	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	National Adaptation Programme Of Action	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Clean Development Mechanism	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Intergovernmental Panel On Climate Change	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Africa Partnership Forum	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Climate Challenge	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Continental Early Warning System	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Southern Africa Development Community	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Nile Basin Initiative	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	United Nations Development Programme Human Development Report	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Climate Risk Management	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Rift Valley Fever	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Reduce Emission From Deforestation And Degradation	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	OECD Journal	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Integrate Water Resource Management	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Designate National Authority	Climate challenges to Africa, a call for action	10.1787/gen_papers-2010-5k9bdtsvgg5d
SDG13: Climate action	Adapt Agriculture	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Fishery Paper	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	OECD Food	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Public Policy OECD	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Gesellschaft F R Internationale Zusammenarbeit	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Adaptation Action	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	National Adaptation Strategy	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	European Agricultural Fund For Rural Development	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	United States Department Of Agriculture	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Climate Change Adaptation	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	United Nations Framework Convention On Climate Change National Communication	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Climate Change Action Plan	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Adaptation Sub-Committee	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	World Resource Institute	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	National Adaptation Plan	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Adaptation Strategy	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Integrate Pest Management	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Climate Change	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Sub-national Assessment	Adapting Agriculture to Climate Change	10.1787/5js08hwvfnr4-en
SDG13: Climate action	Urban Heat Island Effect	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Urban Heat Island	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Predominantly Urban	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Predominantly Urban Area	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Climate Change Governance	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Local Climate Change	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Land-use Zoning	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	IMACLIM-R Model	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Compact City	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Land-use Zoning Policy	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	OECD Metropolitan Database	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Practice Questionnaire	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Metropolitan Transportation Commission	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Pan Yellow Sea Region	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Kitakyushu City	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	OECD Regional Database	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	GHG Emission	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	High Occupancy Vehicle	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	OECD Workshop Proceeding	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	Information And Communication Technology	Competitive Cities and Climate Change	10.1787/218830433146
SDG13: Climate action	United Nations Framework Convention On Climate Change	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Department For Environment , Food , And Rural Affair	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Organisation For Economic Cooperation And Development	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	National Greenhouse Strategy	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Adaptation Option	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Historical Climate Trend	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Adaptation Measure	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Sea-level Rise	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Implement Adaptation Measure	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Coastal Policy Statement	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Organisation For Economic Cooperation And Development Environmental Performance Review	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Identify Adaptation Option	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Natural Hazard Management	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Climate Change Impact	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Coastal Defence	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Climate Change Projection	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Storm Surge Barrier	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Current Climate Variability	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Hazard Zone	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Natural Hazard	Progress on Adaptation to Climate Change in Developed Countries	10.1787/oecd_papers-v6-art8-en
SDG13: Climate action	Social Cost Of Carbon	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Social Cost Of Carbon Estimate	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Intergovernmental Panel On Climate Change	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Willingness To Pay	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Integrate Assessment Model	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Willingness To Accept	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Climate Change Damage	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Abrupt Climate Change	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Net Ecosystem Productivity	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Quasi-fixed Factor	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Climate Sensitivity	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Thermohaline Circulation	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Sea Surface Temperature	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Cumulative Density Function	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Dangerous Climate Change	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Damage Function	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Coral Bleaching	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	General Circulation Model	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	Probability Distribution Function	The Benefits of Climate Change Policies	10.1787/9789264108325-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Pilot Program For Climate Resilience	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	National Adaptation Plan Process	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Mainstreaming Adaptation	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	National Adaptation Plan	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Climate Change Plan	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Special Climate Change Fund	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	OECD Development Assistance Committee Creditor Reporting System	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Development Assistance Committee Creditor Reporting System	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Least Develop Country Fund	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Ecosystem-based Adaptation	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	The Economic Of Ecosystem And Biodiversity	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	United Nations Framework Convention On Climate Change Secretariat	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Green Climate Fund	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Integrate Adaptation Consideration	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	National Climate Change Plan	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Climate Change Adaptation	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Climate And Development Knowledge Network	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	LDC Expert Group	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Intergovernmental Panel On Climate Change	Mainstreaming Adaptation in National Development Planning	10.1787/5jlsv0689qs6-en
SDG13: Climate action	Climate Change Risk Assessment	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Adaptation Planning	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Council On Environmental Quality	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Climate Assessment	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Adaptation Plan	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Flood Insurance Program	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Adaptation Programme	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Adaptation Strategy	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Climate Change Strategy	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Adaptation	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	National Oceanic And Atmospheric Administration	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Adaptation Task	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Adaptation Programme	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Climate Change Adaptation	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Global Change Research Program	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Global Change Research	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Of Science And Technology Policy	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Adaptation Strategy	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Adaptation Action	National Adaptation Planning	10.1787/5k483jpfpsq1-en
SDG13: Climate action	Carbon Capture And Storage	OECD Environmental Outlook to 2050	10.1787/env_outlook-2012-6-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	OECD Environmental Outlook to 2051	10.1787/env_outlook-2012-6-en
SDG13: Climate action	OECD Environmental Outlook	OECD Environmental Outlook to 2052	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Core Scenario	OECD Environmental Outlook to 2053	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Rest Of The World	OECD Environmental Outlook to 2054	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Environmental Outlook Baseline Scenario	OECD Environmental Outlook to 2055	10.1787/env_outlook-2012-6-en
SDG13: Climate action	OECD Environmental Outlook Baseline	OECD Environmental Outlook to 2056	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Fossil Fuel Subsidy Reform	OECD Environmental Outlook to 2057	10.1787/env_outlook-2012-6-en
SDG13: Climate action	International Energy Agency	OECD Environmental Outlook to 2058	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Action Scenario	OECD Environmental Outlook to 2059	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Rest Of The World Country	OECD Environmental Outlook to 2060	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Permit Allocation Rule	OECD Environmental Outlook to 2061	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Fossil Fuel Subsidy	OECD Environmental Outlook to 2062	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Black Carbon	OECD Environmental Outlook to 2063	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Link Carbon Market	OECD Environmental Outlook to 2064	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Climate CHANGEThe	OECD Environmental Outlook to 2065	10.1787/env_outlook-2012-6-en
SDG13: Climate action	Ppm Scenario	OECD Environmental Outlook to 2066	10.1787/env_outlook-2012-6-en
SDG13: Climate action	ENV-Linkages Model	OECD Environmental Outlook to 2067	10.1787/env_outlook-2012-6-en
SDG13: Climate action	European Free Trade Area	OECD Environmental Outlook to 2068	10.1787/env_outlook-2012-6-en
SDG13: Climate action	International Energy Agency Fossil Fuel	OECD Environmental Outlook to 2069	10.1787/env_outlook-2012-6-en
SDG13: Climate action	United Nations Framework Convention On Climate Change	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	National Adaptation Plan Process	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	National Adaptation Plan	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Pilot Programme For Climate Resilience	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	National Adaptation Programme Of Action	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Subsidiary Body For Scientific And Technological Advice	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	United Nations Framework Convention On Climate Change Regime	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Intergovernmental Panel On Climate Change	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Conference Of The Parti	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Technology Executive Committee	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Adaptation Committee	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Cancun Adaptation Framework	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	United Nations Framework Convention On Climate Change Context	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Nairobi Work Programme	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
SDG13: Climate action	Green Climate Fund	The role of the 2015 agreement in enhancing adaptation to climate change	10.1787/5jrxg3xb0h20-en
